net,length_um
net1387,261.32µm
net1183,261.02µm
net1782,260.9µm
_03277_,260.83µm
net648,260.795µm
net2028,260.71µm
net626,260.34µm
net1244,260.18µm
net2400,260.15µm
net1759,260.04µm
net878,259.9µm
net2433,259.73µm
net1205,259.33µm
net1124,259.26µm
net706,259.17µm
net620,259.07µm
net1394,258.96µm
net1533,258.91µm
net1791,258.895µm
net579,258.615µm
net1402,258.53µm
net2314,258.475µm
net1480,258.13µm
net1140,258.1µm
net902,258.04µm
net1831,257.97µm
net1126,257.79µm
net1097,257.74µm
net1920,257.72µm
net1184,257.67µm
net1537,257.54µm
net1253,257.45µm
net1181,257.35µm
net1488,257.21µm
net2077,256.76µm
net2073,256.72µm
net1089,256.42µm
net1226,256.42µm
net1106,256.37µm
net679,256.21µm
net939,256.2µm
net2021,255.97µm
net1990,255.96µm
net1674,255.64µm
net1217,255.5µm
net831,255.485µm
net522,255.44µm
net2154,255.33µm
net753,255.18µm
net1691,255.09µm
net1858,254.955µm
net2019,254.31µm
net585,254.275µm
_09181_,254.26µm
net457,254.2µm
net1730,254.185µm
_09149_,254.06µm
net1862,253.99µm
net1261,253.95µm
net1769,253.83µm
net1332,253.74µm
net1417,253.7µm
net284,253.55µm
net997,253.49µm
net1003,253.44µm
net2301,253.14µm
net1354,253.13µm
net1492,252.68µm
net1035,252.66µm
net1117,252.13µm
net1160,252.13µm
_03311_,252.1µm
_04422_,252.05µm
net737,251.92µm
net1251,251.53µm
net989,251.49µm
net1948,251.29µm
net2075,251.28µm
net2137,251.11µm
net1994,250.98µm
net2421,250.83µm
net1796,250.82µm
net2035,250.61µm
net337,250.6µm
net1188,250.3µm
net1199,250.25µm
net1268,250.12µm
net1022,250.08µm
net1231,250.02µm
net1795,249.94µm
net1350,249.57µm
net1280,249.38µm
_05743_,249.26µm
_03125_,249.16µm
_03110_,249.08µm
net1388,248.82µm
net1539,248.44µm
net2012,248.41µm
net262,248.29µm
net1734,248.08µm
net1221,248.05µm
_04238_,247.535µm
_05724_,247.53µm
net1008,247.33µm
net1110,247.26µm
net824,247.185µm
net1916,246.97µm
net664,246.895µm
net1236,246.86µm
net1490,246.77µm
net1342,246.76µm
net1799,246.65µm
net1112,246.62µm
net763,246.325µm
net1640,246.28µm
net638,245.895µm
net1702,245.56µm
net2377,245.55µm
net937,245.49µm
net924,245.44µm
net1600,245.43µm
net1510,245.275µm
net2381,245.12µm
net1340,244.95µm
net1051,244.72µm
net458,244.54µm
net2346,244.295µm
net1108,244µm
net2210,243.98µm
net719,243.97µm
net870,243.845µm
net1629,243.78µm
net1489,243.53µm
net1738,243.505µm
net1747,243.42µm
net1248,243.16µm
net1545,242.81µm
net2394,242.795µm
net781,242.715µm
net2080,242.64µm
_09083_,242.59µm
net688,242.55µm
_05892_,242.54µm
net2334,242.43µm
net1321,242.38µm
net361,242.12µm
net947,241.965µm
net670,241.94µm
net1277,241.9µm
net2164,241.83µm
_03183_,241.78µm
net1,241.76µm
net1196,241.67µm
_07624_,241.39µm
net618,241.29µm
_03767_,241.2µm
net238,241.05µm
net959,241.035µm
net1798,240.89µm
net2037,240.82µm
net1033,240.77µm
_05891_,240.05µm
net2312,239.85µm
_06363_,239.58µm
net812,239.455µm
net1072,239.29µm
net2020,239.19µm
net1061,239.14µm
net1398,239.06µm
net1315,238.97µm
net976,238.96µm
net2307,238.95µm
net653,238.895µm
net777,238.665µm
net491,238.56µm
net452,238.53µm
net2345,238.525µm
net1200,238.36µm
net1848,238.34µm
net2018,238.33µm
_09147_,238.1µm
net1927,237.99µm
net2375,237.94µm
net1307,237.77µm
net1102,237.76µm
net654,237.645µm
net250,237.55µm
net1833,237.445µm
net1401,237.37µm
net868,237.355µm
net2328,237.34µm
net993,237.275µm
net810,237.12µm
net1263,237.09µm
net1395,237µm
net1525,236.74µm
net1669,236.64µm
_08602_,236.62µm
net321,236.48µm
net2086,236.4µm
net666,236.39µm
net980,236.365µm
net1258,236.36µm
net1947,236.33µm
net1279,236.16µm
net1472,236µm
net1497,235.98µm
net1816,235.9µm
net952,235.88µm
net344,235.8µm
net633,235.8µm
net1762,235.46µm
net850,235.41µm
_03224_,235.11µm
net1538,234.94µm
net736,234.835µm
net482,234.67µm
net966,234.645µm
net1042,234.58µm
_09069_,234.54µm
net247,234.42µm
net1206,234.42µm
net1784,234.32µm
net1219,233.92µm
net1881,233.875µm
net1897,233.85µm
_03138_,233.79µm
net995,233.64µm
_07186_,233.51µm
net365,233.26µm
net723,233.24µm
net1501,233.17µm
net1767,233.17µm
net368,233.04µm
net644,233.02µm
net1587,232.81µm
net1909,232.51µm
net1356,232.44µm
net2273,232.25µm
net1828,232.12µm
net1706,232.06µm
net232,231.94µm
net1031,231.82µm
_05343_,231.72µm
net1131,231.52µm
net1060,231.42µm
net1095,231.38µm
net2397,231.16µm
net843,231.135µm
_09151_,231µm
_09153_,231µm
net1703,230.96µm
net301,230.76µm
