net,length_um
_05752_,5.84µm
_06127_,5.84µm
_06304_,5.84µm
_06597_,5.84µm
_07414_,5.84µm
_07538_,5.84µm
_08099_,5.84µm
_08174_,5.84µm
_08647_,5.84µm
u_core.u_dmem.ram\[43\]\[9\],5.84µm
u_core.u_dmem.ram\[60\]\[4\],5.84µm
net3603,5.84µm
net3756,5.84µm
net3887,5.84µm
net4013,5.84µm
net4023,5.84µm
net4130,5.84µm
net4566,5.84µm
net4674,5.84µm
net5104,5.84µm
net5306,5.84µm
net5310,5.84µm
u_core.u_dmem.ram\[23\]\[15\],5.835µm
u_core.u_dmem.ram\[51\]\[17\],5.825µm
_03738_,5.82µm
_05401_,5.82µm
_05509_,5.82µm
_05829_,5.82µm
_06046_,5.82µm
_06296_,5.82µm
_06584_,5.82µm
_08380_,5.82µm
_08854_,5.82µm
u_core.u_dmem.ram\[13\]\[14\],5.82µm
u_core.u_dmem.ram\[33\]\[18\],5.82µm
u_core.u_dmem.ram\[47\]\[16\],5.82µm
u_core.u_dmem.ram\[49\]\[5\],5.82µm
u_core.u_dmem.ram\[55\]\[1\],5.82µm
u_core.u_dmem.ram\[58\]\[9\],5.82µm
_01148_,5.805µm
_01943_,5.805µm
_02454_,5.805µm
_07753_,5.805µm
u_core.u_dmem.ram\[13\]\[17\],5.805µm
_03533_,5.8µm
_03646_,5.8µm
_04747_,5.8µm
_05081_,5.8µm
_06112_,5.8µm
_06201_,5.8µm
_06531_,5.8µm
_06603_,5.8µm
_06632_,5.8µm
_07075_,5.8µm
_07500_,5.8µm
_07572_,5.8µm
_07709_,5.8µm
_07785_,5.8µm
_08066_,5.8µm
_08434_,5.8µm
_08524_,5.8µm
_08593_,5.8µm
u_core.u_dmem.ram\[22\]\[20\],5.8µm
u_core.u_dmem.ram\[28\]\[31\],5.8µm
u_core.u_dmem.ram\[30\]\[25\],5.8µm
u_core.u_dmem.ram\[32\]\[16\],5.8µm
u_core.u_dmem.ram\[38\]\[11\],5.8µm
u_core.u_dmem.ram\[5\]\[28\],5.8µm
u_core.u_dmem.ram\[6\]\[7\],5.8µm
net2735,5.8µm
net4064,5.8µm
net4122,5.8µm
net4154,5.8µm
net4413,5.8µm
net4996,5.8µm
net5233,5.8µm
net5376,5.8µm
net5576,5.8µm
_00384_,5.785µm
_01102_,5.785µm
_02934_,5.785µm
_02809_,5.775µm
_00037_,5.765µm
_00197_,5.765µm
_00268_,5.765µm
_00460_,5.765µm
_00554_,5.765µm
_00617_,5.765µm
_00783_,5.765µm
_00823_,5.765µm
_00990_,5.765µm
_00992_,5.765µm
_01080_,5.765µm
_01160_,5.765µm
_01448_,5.765µm
_01453_,5.765µm
_01664_,5.765µm
_02026_,5.765µm
_02513_,5.765µm
_02810_,5.765µm
_02816_,5.765µm
_02831_,5.765µm
_02940_,5.765µm
_02987_,5.765µm
_06650_,5.74µm
_06674_,5.74µm
_07175_,5.74µm
_08709_,5.74µm
_08727_,5.74µm
_08969_,5.74µm
u_core.u_dmem.ram\[60\]\[2\],5.74µm
net4041,5.74µm
net5437,5.74µm
_00053_,5.725µm
_00209_,5.725µm
_00257_,5.725µm
_00356_,5.725µm
_00492_,5.725µm
_00498_,5.725µm
_00606_,5.725µm
_00789_,5.725µm
_00812_,5.725µm
_00898_,5.725µm
_00944_,5.725µm
_00951_,5.725µm
_01018_,5.725µm
_01258_,5.725µm
_01279_,5.725µm
_01455_,5.725µm
_01594_,5.725µm
_01610_,5.725µm
_01637_,5.725µm
_01643_,5.725µm
_01744_,5.725µm
_01841_,5.725µm
_02236_,5.725µm
_02245_,5.725µm
_02369_,5.725µm
_02539_,5.725µm
_02814_,5.725µm
_02979_,5.725µm
_01655_,5.72µm
_03825_,5.72µm
_04268_,5.72µm
_04360_,5.72µm
_04602_,5.72µm
_04883_,5.72µm
_04890_,5.72µm
_04980_,5.72µm
_05117_,5.72µm
_05371_,5.72µm
_05420_,5.72µm
_05522_,5.72µm
_05721_,5.72µm
_06469_,5.72µm
_06792_,5.72µm
_06891_,5.72µm
_07258_,5.72µm
_07315_,5.72µm
_07418_,5.72µm
_07512_,5.72µm
_07551_,5.72µm
_07612_,5.72µm
_07629_,5.72µm
_07692_,5.72µm
_07763_,5.72µm
_07843_,5.72µm
_08185_,5.72µm
_08552_,5.72µm
_08760_,5.72µm
_08925_,5.72µm
u_core.u_dmem.ram\[14\]\[0\],5.72µm
u_core.u_dmem.ram\[40\]\[13\],5.72µm
u_core.u_dmem.ram\[43\]\[1\],5.72µm
u_core.u_dmem.ram\[45\]\[6\],5.72µm
u_core.u_dmem.ram\[46\]\[26\],5.72µm
net2584,5.72µm
net2636,5.72µm
net2755,5.72µm
net2921,5.72µm
net3089,5.72µm
net3218,5.72µm
net3303,5.72µm
net3304,5.72µm
net3327,5.72µm
net3342,5.72µm
net3507,5.72µm
net4127,5.72µm
net4420,5.72µm
net4841,5.72µm
net5454,5.72µm
net5466,5.72µm
_06690_,5.71µm
_00093_,5.705µm
_00289_,5.705µm
_00553_,5.705µm
_00705_,5.705µm
_00861_,5.705µm
_00942_,5.705µm
_01391_,5.705µm
_01613_,5.705µm
_01697_,5.705µm
_01715_,5.705µm
_01889_,5.705µm
_02014_,5.705µm
_03088_,5.705µm
_01171_,5.7µm
_02159_,5.7µm
_02699_,5.7µm
_07673_,5.7µm
u_core.u_dmem.ram\[16\]\[11\],5.7µm
u_core.u_dmem.ram\[31\]\[4\],5.7µm
u_core.u_dmem.ram\[3\]\[6\],5.7µm
_03488_,5.68µm
_03619_,5.68µm
_04035_,5.68µm
_04281_,5.68µm
_04375_,5.68µm
_04465_,5.68µm
_04610_,5.68µm
_04804_,5.68µm
_04937_,5.68µm
_05071_,5.68µm
_05324_,5.68µm
_05433_,5.68µm
_05543_,5.68µm
_06133_,5.68µm
_06317_,5.68µm
_06843_,5.68µm
_07313_,5.68µm
_07633_,5.68µm
_07686_,5.68µm
_07800_,5.68µm
_07813_,5.68µm
_08183_,5.68µm
_08232_,5.68µm
_08770_,5.68µm
_08827_,5.68µm
u_core.u_dmem.ram\[17\]\[7\],5.68µm
u_core.u_dmem.ram\[28\]\[17\],5.68µm
net2911,5.68µm
net2976,5.68µm
net3040,5.68µm
net3098,5.68µm
net3427,5.68µm
net3746,5.68µm
net4563,5.68µm
net5078,5.68µm
_00582_,5.675µm
_00784_,5.675µm
_02409_,5.675µm
_02897_,5.675µm
u_core.u_dmem.ram\[56\]\[30\],5.65µm
_00865_,5.645µm
_01049_,5.645µm
_01443_,5.645µm
_02204_,5.645µm
_02448_,5.645µm
_02942_,5.645µm
u_core.u_dmem.ram\[15\]\[8\],5.63µm
_00030_,5.625µm
_00979_,5.625µm
_00988_,5.625µm
_02232_,5.625µm
_02565_,5.625µm
_00969_,5.62µm
_01026_,5.62µm
_01225_,5.62µm
_01481_,5.62µm
_01848_,5.62µm
_01965_,5.62µm
_01996_,5.62µm
_02113_,5.62µm
_02179_,5.62µm
_03541_,5.62µm
net2696,5.62µm
net2724,5.62µm
net3014,5.62µm
net3050,5.62µm
net3106,5.62µm
net3180,5.62µm
net3237,5.62µm
net3238,5.62µm
net3329,5.62µm
net3334,5.62µm
net3652,5.62µm
net3755,5.62µm
net3760,5.62µm
net3765,5.62µm
net3788,5.62µm
net3806,5.62µm
net3848,5.62µm
net3904,5.62µm
net3914,5.62µm
net3949,5.62µm
net4048,5.62µm
net4055,5.62µm
net4068,5.62µm
net4098,5.62µm
net4105,5.62µm
net4125,5.62µm
net4132,5.62µm
net4168,5.62µm
net4169,5.62µm
net4269,5.62µm
net4303,5.62µm
net4311,5.62µm
net4330,5.62µm
net4405,5.62µm
net4432,5.62µm
net4481,5.62µm
net4542,5.62µm
net4556,5.62µm
net4737,5.62µm
net4823,5.62µm
net4974,5.62µm
net4990,5.62µm
net5131,5.62µm
net5194,5.62µm
net5210,5.62µm
net5283,5.62µm
net5287,5.62µm
net5362,5.62µm
net5386,5.62µm
net5417,5.62µm
net5566,5.62µm
net5570,5.62µm
_00035_,5.605µm
_00234_,5.605µm
_00746_,5.605µm
_01217_,5.605µm
_01485_,5.605µm
_02608_,5.605µm
_02728_,5.605µm
_02753_,5.605µm
_03030_,5.605µm
_04813_,5.6µm
_05078_,5.6µm
_05542_,5.6µm
_06600_,5.6µm
_06747_,5.6µm
_07042_,5.6µm
_08463_,5.6µm
u_core.u_dmem.ram\[20\]\[17\],5.6µm
u_core.u_dmem.ram\[25\]\[22\],5.6µm
u_core.u_dmem.ram\[33\]\[6\],5.6µm
u_core.u_dmem.ram\[46\]\[19\],5.6µm
u_core.u_dmem.ram\[55\]\[31\],5.6µm
net5414,5.6µm
_00880_,5.595µm
_00883_,5.58µm
_00973_,5.58µm
_01598_,5.58µm
_01670_,5.58µm
_02111_,5.58µm
_02677_,5.58µm
_07631_,5.58µm
_07826_,5.58µm
u_core.u_dmem.ram\[14\]\[21\],5.58µm
u_core.u_dmem.ram\[35\]\[1\],5.58µm
u_core.u_dmem.ram\[40\]\[28\],5.58µm
net3120,5.58µm
net3235,5.58µm
net3305,5.58µm
net3381,5.58µm
net3394,5.58µm
net3550,5.58µm
net3662,5.58µm
net3700,5.58µm
net4124,5.58µm
net4478,5.58µm
net4491,5.58µm
net4664,5.58µm
net5341,5.58µm
_01639_,5.575µm
u_core.u_dmem.ram\[57\]\[11\],5.575µm
_03719_,5.56µm
_07440_,5.56µm
u_core.u_dmem.ram\[10\]\[5\],5.56µm
u_core.u_dmem.ram\[3\]\[23\],5.56µm
u_core.u_dmem.ram\[61\]\[18\],5.56µm
_00351_,5.555µm
_01847_,5.555µm
_02227_,5.555µm
_02740_,5.555µm
u_core.u_dmem.ram\[8\]\[19\],5.555µm
u_core.u_dmem.ram\[34\]\[30\],5.55µm
u_core.u_dmem.ram\[8\]\[28\],5.55µm
_00549_,5.545µm
_00723_,5.545µm
_00903_,5.545µm
_01514_,5.545µm
_01669_,5.545µm
_02025_,5.545µm
_02274_,5.545µm
_02278_,5.545µm
_02516_,5.545µm
_02681_,5.545µm
_02907_,5.545µm
_00687_,5.525µm
_02051_,5.525µm
_02383_,5.525µm
_02413_,5.525µm
_02983_,5.525µm
_03444_,5.52µm
_03591_,5.52µm
_03617_,5.52µm
_04248_,5.52µm
_05084_,5.52µm
_06785_,5.52µm
_07486_,5.52µm
_07728_,5.52µm
_08792_,5.52µm
net2538,5.52µm
net2539,5.52µm
net2549,5.52µm
net2560,5.52µm
net2565,5.52µm
net2571,5.52µm
net2574,5.52µm
net2581,5.52µm
net2583,5.52µm
net2588,5.52µm
net2596,5.52µm
net2597,5.52µm
net2598,5.52µm
net2599,5.52µm
net2600,5.52µm
net2601,5.52µm
net2604,5.52µm
net2608,5.52µm
net2610,5.52µm
net2611,5.52µm
net2612,5.52µm
net2617,5.52µm
net2628,5.52µm
net2630,5.52µm
net2633,5.52µm
net2635,5.52µm
net2643,5.52µm
net2646,5.52µm
net2653,5.52µm
net2656,5.52µm
net2658,5.52µm
net2661,5.52µm
net2663,5.52µm
net2667,5.52µm
net2668,5.52µm
net2669,5.52µm
net2670,5.52µm
net2679,5.52µm
net2688,5.52µm
net2689,5.52µm
net2692,5.52µm
net2695,5.52µm
net2698,5.52µm
net2711,5.52µm
net2713,5.52µm
net2721,5.52µm
net2728,5.52µm
net2731,5.52µm
net2734,5.52µm
net2741,5.52µm
net2742,5.52µm
net2743,5.52µm
net2745,5.52µm
net2750,5.52µm
net2760,5.52µm
net2763,5.52µm
net2765,5.52µm
net2776,5.52µm
net2783,5.52µm
net2792,5.52µm
net2794,5.52µm
net2796,5.52µm
net2800,5.52µm
net2811,5.52µm
net2813,5.52µm
net2816,5.52µm
net2819,5.52µm
net2825,5.52µm
net2826,5.52µm
net2828,5.52µm
net2830,5.52µm
net2831,5.52µm
net2837,5.52µm
net2840,5.52µm
net2841,5.52µm
net2845,5.52µm
net2850,5.52µm
net2851,5.52µm
net2876,5.52µm
net2880,5.52µm
net2883,5.52µm
net2889,5.52µm
net2891,5.52µm
net2910,5.52µm
net2919,5.52µm
net2924,5.52µm
net2927,5.52µm
net2932,5.52µm
net2934,5.52µm
net2943,5.52µm
net2949,5.52µm
net2955,5.52µm
net2963,5.52µm
net2965,5.52µm
net2975,5.52µm
net2983,5.52µm
net2986,5.52µm
net2993,5.52µm
net3001,5.52µm
net3011,5.52µm
net3012,5.52µm
net3039,5.52µm
net3044,5.52µm
net3052,5.52µm
net3061,5.52µm
net3062,5.52µm
net3071,5.52µm
net3078,5.52µm
net3081,5.52µm
net3096,5.52µm
net3100,5.52µm
net3101,5.52µm
net3115,5.52µm
net3117,5.52µm
net3118,5.52µm
net3125,5.52µm
net3128,5.52µm
net3133,5.52µm
net3143,5.52µm
net3148,5.52µm
net3161,5.52µm
net3165,5.52µm
net3170,5.52µm
net3181,5.52µm
net3186,5.52µm
net3187,5.52µm
net3201,5.52µm
net3204,5.52µm
net3206,5.52µm
net3211,5.52µm
net3213,5.52µm
net3220,5.52µm
net3223,5.52µm
net3236,5.52µm
net3241,5.52µm
net3247,5.52µm
net3249,5.52µm
net3258,5.52µm
net3261,5.52µm
net3265,5.52µm
net3272,5.52µm
net3274,5.52µm
net3286,5.52µm
net3289,5.52µm
net3318,5.52µm
net3325,5.52µm
net3330,5.52µm
net3338,5.52µm
net3351,5.52µm
net3359,5.52µm
net3362,5.52µm
net3364,5.52µm
net3367,5.52µm
net3369,5.52µm
net3376,5.52µm
net3383,5.52µm
net3386,5.52µm
net3392,5.52µm
net3393,5.52µm
net3403,5.52µm
net3406,5.52µm
net3410,5.52µm
net3413,5.52µm
net3432,5.52µm
net3438,5.52µm
net3443,5.52µm
net3448,5.52µm
net3460,5.52µm
net3464,5.52µm
net3478,5.52µm
net3483,5.52µm
net3485,5.52µm
net3502,5.52µm
net3505,5.52µm
net3513,5.52µm
net3524,5.52µm
net3529,5.52µm
net3537,5.52µm
net3551,5.52µm
net3554,5.52µm
net3562,5.52µm
net3567,5.52µm
net3584,5.52µm
net3597,5.52µm
net3606,5.52µm
net3643,5.52µm
net3645,5.52µm
net3646,5.52µm
net3654,5.52µm
net3655,5.52µm
net3670,5.52µm
net3680,5.52µm
net3682,5.52µm
net3703,5.52µm
net3716,5.52µm
net3742,5.52µm
net3748,5.52µm
net3749,5.52µm
net3762,5.52µm
net3766,5.52µm
net3769,5.52µm
net3771,5.52µm
net3777,5.52µm
net3782,5.52µm
net3791,5.52µm
net3796,5.52µm
net3843,5.52µm
net3859,5.52µm
net3867,5.52µm
net3869,5.52µm
net3876,5.52µm
net3884,5.52µm
net3888,5.52µm
net3905,5.52µm
net3906,5.52µm
net3923,5.52µm
net3928,5.52µm
net3948,5.52µm
net3986,5.52µm
net3987,5.52µm
net3991,5.52µm
net4006,5.52µm
net4009,5.52µm
net4018,5.52µm
net4020,5.52µm
net4043,5.52µm
net4079,5.52µm
net4080,5.52µm
net4090,5.52µm
net4138,5.52µm
net4152,5.52µm
net4172,5.52µm
net4208,5.52µm
net4233,5.52µm
net4257,5.52µm
net4268,5.52µm
net4285,5.52µm
net4318,5.52µm
net4362,5.52µm
net4376,5.52µm
net4398,5.52µm
net4401,5.52µm
net4439,5.52µm
net4450,5.52µm
net4472,5.52µm
net4477,5.52µm
net4525,5.52µm
net4557,5.52µm
net4581,5.52µm
net4586,5.52µm
net4590,5.52µm
net4591,5.52µm
net4593,5.52µm
net4602,5.52µm
net4611,5.52µm
net4617,5.52µm
net4626,5.52µm
net4631,5.52µm
net4635,5.52µm
net4647,5.52µm
net4657,5.52µm
net4662,5.52µm
net4677,5.52µm
net4678,5.52µm
net4684,5.52µm
net4689,5.52µm
net4691,5.52µm
net4696,5.52µm
net4705,5.52µm
net4706,5.52µm
net4708,5.52µm
net4710,5.52µm
net4713,5.52µm
net4721,5.52µm
net4725,5.52µm
net4727,5.52µm
net4728,5.52µm
net4741,5.52µm
net4744,5.52µm
net4746,5.52µm
net4752,5.52µm
net4753,5.52µm
net4759,5.52µm
net4762,5.52µm
net4763,5.52µm
net4764,5.52µm
net4766,5.52µm
net4768,5.52µm
net4771,5.52µm
net4773,5.52µm
net4791,5.52µm
net4792,5.52µm
net4794,5.52µm
net4797,5.52µm
net4802,5.52µm
net4803,5.52µm
net4804,5.52µm
net4818,5.52µm
net4825,5.52µm
net4829,5.52µm
net4836,5.52µm
net4837,5.52µm
net4844,5.52µm
net4853,5.52µm
net4859,5.52µm
net4865,5.52µm
net4867,5.52µm
net4870,5.52µm
net4881,5.52µm
net4891,5.52µm
net4897,5.52µm
net4903,5.52µm
net4922,5.52µm
net4925,5.52µm
net4932,5.52µm
net4935,5.52µm
net4942,5.52µm
net4943,5.52µm
net4944,5.52µm
net4947,5.52µm
net4950,5.52µm
net4951,5.52µm
net4955,5.52µm
net4965,5.52µm
net4967,5.52µm
net4972,5.52µm
net4983,5.52µm
net4985,5.52µm
net4998,5.52µm
net5005,5.52µm
net5007,5.52µm
net5012,5.52µm
net5014,5.52µm
net5029,5.52µm
net5036,5.52µm
net5044,5.52µm
net5049,5.52µm
net5054,5.52µm
net5060,5.52µm
net5061,5.52µm
net5062,5.52µm
net5067,5.52µm
net5071,5.52µm
net5072,5.52µm
net5075,5.52µm
net5077,5.52µm
net5090,5.52µm
net5111,5.52µm
net5113,5.52µm
net5116,5.52µm
net5118,5.52µm
net5129,5.52µm
net5148,5.52µm
net5164,5.52µm
net5191,5.52µm
net5193,5.52µm
net5195,5.52µm
net5200,5.52µm
net5203,5.52µm
net5220,5.52µm
net5221,5.52µm
net5223,5.52µm
net5230,5.52µm
net5238,5.52µm
net5247,5.52µm
net5257,5.52µm
net5263,5.52µm
net5291,5.52µm
net5296,5.52µm
net5307,5.52µm
net5313,5.52µm
net5316,5.52µm
net5324,5.52µm
net5332,5.52µm
net5337,5.52µm
net5353,5.52µm
net5379,5.52µm
net5393,5.52µm
net5397,5.52µm
net5412,5.52µm
net5419,5.52µm
net5438,5.52µm
net5446,5.52µm
net5451,5.52µm
net5472,5.52µm
net5473,5.52µm
net5486,5.52µm
net5501,5.52µm
net5506,5.52µm
net5517,5.52µm
net5532,5.52µm
net5534,5.52µm
net5535,5.52µm
net5569,5.52µm
net5572,5.52µm
u_core.u_dmem.ram\[0\]\[19\],5.515µm
_00032_,5.505µm
_00516_,5.505µm
_00794_,5.505µm
_00895_,5.505µm
_01023_,5.505µm
_01139_,5.505µm
_01634_,5.505µm
_01743_,5.505µm
_01912_,5.505µm
_02149_,5.505µm
_02182_,5.505µm
_02688_,5.505µm
_02720_,5.505µm
_02838_,5.505µm
_01922_,5.5µm
_02936_,5.5µm
_04605_,5.5µm
_08184_,5.5µm
_08409_,5.5µm
_08418_,5.5µm
net2859,5.5µm
net3578,5.5µm
net3975,5.5µm
net3995,5.5µm
net4141,5.5µm
net4559,5.5µm
net5251,5.5µm
_05544_,5.485µm
u_core.u_dmem.ram\[32\]\[24\],5.485µm
_00840_,5.48µm
_04120_,5.48µm
_05458_,5.48µm
_05562_,5.48µm
_05592_,5.48µm
_05652_,5.48µm
_06796_,5.48µm
_06845_,5.48µm
_08276_,5.48µm
_09028_,5.48µm
u_core.u_dmem.ram\[10\]\[31\],5.48µm
u_core.u_dmem.ram\[14\]\[20\],5.48µm
u_core.u_dmem.ram\[17\]\[1\],5.48µm
u_core.u_dmem.ram\[17\]\[8\],5.48µm
u_core.u_dmem.ram\[1\]\[7\],5.48µm
u_core.u_dmem.ram\[2\]\[22\],5.48µm
u_core.u_dmem.ram\[31\]\[24\],5.48µm
u_core.u_dmem.ram\[39\]\[19\],5.48µm
u_core.u_dmem.ram\[41\]\[26\],5.48µm
u_core.u_dmem.ram\[45\]\[11\],5.48µm
u_core.u_dmem.ram\[47\]\[7\],5.48µm
u_core.u_dmem.ram\[58\]\[29\],5.48µm
u_core.u_dmem.ram\[63\]\[5\],5.48µm
u_core.u_dmem.ram\[7\]\[23\],5.48µm
net5108,5.48µm
_00181_,5.475µm
_00306_,5.475µm
_00567_,5.475µm
_01133_,5.475µm
_01689_,5.475µm
_02188_,5.475µm
_04588_,5.46µm
_06494_,5.46µm
_06721_,5.46µm
_06827_,5.46µm
_08445_,5.46µm
_08468_,5.46µm
_08539_,5.46µm
_09008_,5.46µm
_00544_,5.445µm
_01021_,5.445µm
_02679_,5.445µm
_04124_,5.44µm
_04304_,5.44µm
_07650_,5.44µm
_00140_,5.435µm
_00457_,5.435µm
_00496_,5.435µm
_00664_,5.435µm
_00776_,5.435µm
_01158_,5.435µm
_01387_,5.435µm
_01470_,5.435µm
_01503_,5.435µm
_01549_,5.435µm
_01624_,5.435µm
_01903_,5.435µm
_02003_,5.435µm
_02367_,5.435µm
_02689_,5.435µm
_02787_,5.435µm
_02848_,5.435µm
_02879_,5.435µm
_02310_,5.425µm
_02449_,5.425µm
_02744_,5.425µm
_00578_,5.415µm
_01137_,5.405µm
_02721_,5.405µm
_04253_,5.4µm
_04977_,5.4µm
_05188_,5.4µm
_05951_,5.4µm
_06722_,5.4µm
_07497_,5.4µm
_07518_,5.4µm
_08327_,5.4µm
_08378_,5.4µm
net2122,5.4µm
net3960,5.4µm
net4780,5.4µm
net5435,5.4µm
net5461,5.4µm
net5491,5.4µm
net5492,5.4µm
_01601_,5.385µm
_03810_,5.38µm
_04115_,5.38µm
_04358_,5.38µm
_05209_,5.38µm
_05393_,5.38µm
_06095_,5.38µm
_06292_,5.38µm
_06303_,5.38µm
_07808_,5.38µm
_07868_,5.38µm
_08416_,5.38µm
_08739_,5.38µm
_09020_,5.38µm
u_core.u_dmem.ram\[24\]\[29\],5.38µm
u_core.u_dmem.ram\[42\]\[7\],5.38µm
u_core.u_dmem.ram\[8\]\[31\],5.38µm
net2884,5.38µm
net3926,5.38µm
net4061,5.38µm
net4075,5.38µm
net4104,5.38µm
net4156,5.38µm
net4304,5.38µm
net4528,5.38µm
net4546,5.38µm
net4824,5.38µm
net4994,5.38µm
_03620_,5.36µm
_04680_,5.36µm
_07128_,5.36µm
_07300_,5.36µm
_08982_,5.36µm
u_core.u_dmem.ram\[25\]\[26\],5.36µm
u_core.u_dmem.ram\[27\]\[5\],5.36µm
_00189_,5.355µm
_00207_,5.355µm
_00309_,5.355µm
_01908_,5.355µm
_02279_,5.355µm
_02533_,5.355µm
_00665_,5.345µm
_01089_,5.345µm
_01143_,5.345µm
_01166_,5.345µm
_01172_,5.345µm
_01419_,5.345µm
_01427_,5.345µm
_01508_,5.345µm
_01942_,5.345µm
_02784_,5.345µm
_03744_,5.34µm
_04168_,5.34µm
_04241_,5.34µm
_04923_,5.34µm
_05073_,5.34µm
_05656_,5.34µm
_06101_,5.34µm
_06488_,5.34µm
_06583_,5.34µm
_07161_,5.34µm
_07663_,5.34µm
_09064_,5.34µm
u_core.u_dmem.ram\[10\]\[10\],5.34µm
u_core.u_dmem.ram\[24\]\[26\],5.34µm
u_core.u_dmem.ram\[43\]\[26\],5.34µm
u_core.u_dmem.ram\[60\]\[12\],5.34µm
net3961,5.34µm
net4032,5.34µm
net4568,5.34µm
net5578,5.34µm
u_core.u_dmem.ram\[18\]\[14\],5.335µm
_00488_,5.325µm
_00978_,5.325µm
_01692_,5.325µm
_00238_,5.315µm
_01863_,5.315µm
_01865_,5.315µm
_02465_,5.315µm
_07687_,5.315µm
_00206_,5.305µm
_00291_,5.305µm
_00302_,5.305µm
_00366_,5.305µm
_00455_,5.305µm
_00561_,5.305µm
_00613_,5.305µm
_00698_,5.305µm
_00892_,5.305µm
_00945_,5.305µm
_01108_,5.305µm
_01266_,5.305µm
_01324_,5.305µm
_01331_,5.305µm
_01472_,5.305µm
_01562_,5.305µm
_01877_,5.305µm
_01911_,5.305µm
_01947_,5.305µm
_02009_,5.305µm
_02137_,5.305µm
_02142_,5.305µm
_02145_,5.305µm
_02328_,5.305µm
_02497_,5.305µm
_02817_,5.305µm
_03038_,5.305µm
_03919_,5.295µm
_00564_,5.285µm
_07620_,5.285µm
_08467_,5.285µm
_05803_,5.28µm
_06723_,5.28µm
_06913_,5.28µm
_06914_,5.28µm
_07784_,5.28µm
_08946_,5.28µm
_00263_,5.265µm
_00401_,5.265µm
_00422_,5.265µm
_00507_,5.265µm
_00981_,5.265µm
_01541_,5.265µm
_01684_,5.265µm
_01818_,5.265µm
_01932_,5.265µm
_02011_,5.265µm
_02102_,5.265µm
_02226_,5.265µm
_02244_,5.265µm
_02357_,5.265µm
_02433_,5.265µm
_02538_,5.265µm
_02640_,5.265µm
_02734_,5.265µm
_02867_,5.265µm
_02870_,5.265µm
_02914_,5.265µm
_02984_,5.265µm
_03067_,5.265µm
_03496_,5.26µm
_03557_,5.26µm
_03688_,5.26µm
_03768_,5.26µm
_04017_,5.26µm
_04044_,5.26µm
_04089_,5.26µm
_04254_,5.26µm
_04654_,5.26µm
_04814_,5.26µm
_04920_,5.26µm
_05421_,5.26µm
_05826_,5.26µm
_05873_,5.26µm
_05937_,5.26µm
_06024_,5.26µm
_06219_,5.26µm
_06373_,5.26µm
_06503_,5.26µm
_06719_,5.26µm
_07000_,5.26µm
_07158_,5.26µm
_07178_,5.26µm
_07225_,5.26µm
_07252_,5.26µm
_07317_,5.26µm
_07504_,5.26µm
_07770_,5.26µm
_07773_,5.26µm
_07782_,5.26µm
_07888_,5.26µm
_07934_,5.26µm
_08147_,5.26µm
_08363_,5.26µm
_08874_,5.26µm
_08920_,5.26µm
_08947_,5.26µm
u_core.instr\[5\],5.26µm
u_core.u_dmem.ram\[0\]\[29\],5.26µm
u_core.u_dmem.ram\[12\]\[0\],5.26µm
u_core.u_dmem.ram\[12\]\[8\],5.26µm
u_core.u_dmem.ram\[34\]\[15\],5.26µm
u_core.u_dmem.ram\[47\]\[14\],5.26µm
u_core.u_dmem.ram\[4\]\[1\],5.26µm
u_core.u_dmem.ram\[54\]\[7\],5.26µm
u_core.u_dmem.ram\[7\]\[20\],5.26µm
net2952,5.26µm
net3055,5.26µm
net3253,5.26µm
net3279,5.26µm
net3504,5.26µm
net3532,5.26µm
net3569,5.26µm
net3615,5.26µm
net3677,5.26µm
net3686,5.26µm
net3930,5.26µm
net4137,5.26µm
net4301,5.26µm
net4377,5.26µm
net4868,5.26µm
net4871,5.26µm
net5232,5.26µm
net5521,5.26µm
_00046_,5.24µm
_01308_,5.24µm
_05526_,5.24µm
_06269_,5.24µm
_07021_,5.24µm
_07222_,5.24µm
u_core.u_dmem.ram\[27\]\[0\],5.24µm
u_core.u_dmem.ram\[59\]\[21\],5.235µm
_03710_,5.22µm
_03932_,5.22µm
_03945_,5.22µm
_04139_,5.22µm
_04163_,5.22µm
_04336_,5.22µm
_04785_,5.22µm
_04866_,5.22µm
_04970_,5.22µm
_04994_,5.22µm
_05051_,5.22µm
_05195_,5.22µm
_05272_,5.22µm
_05659_,5.22µm
_06298_,5.22µm
_06320_,5.22µm
_06831_,5.22µm
_06862_,5.22µm
_06900_,5.22µm
_07426_,5.22µm
_07484_,5.22µm
_07611_,5.22µm
_07691_,5.22µm
_07746_,5.22µm
_07856_,5.22µm
_08435_,5.22µm
_08639_,5.22µm
_08999_,5.22µm
net3935,5.22µm
net4047,5.22µm
_00527_,5.215µm
_00816_,5.215µm
_07492_,5.19µm
u_core.u_dmem.ram\[1\]\[9\],5.19µm
_00040_,5.185µm
_00078_,5.185µm
_00080_,5.185µm
_00243_,5.185µm
_00538_,5.185µm
_00616_,5.185µm
_01009_,5.185µm
_01094_,5.185µm
_01300_,5.185µm
_01338_,5.185µm
_01814_,5.185µm
_01953_,5.185µm
_02205_,5.185µm
_02747_,5.185µm
_02769_,5.185µm
_02010_,5.165µm
_02833_,5.165µm
_00731_,5.16µm
_00947_,5.16µm
_01065_,5.16µm
_01241_,5.16µm
_01732_,5.16µm
_01881_,5.16µm
_01910_,5.16µm
_01981_,5.16µm
