Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_232_190,VPWR,li1,93.6100,644.6400,1.799992
FILLER_232_187,VPWR,li1,92.2300,644.6400,1.799993
FILLER_232_184,VPWR,li1,90.8500,644.6400,1.799993
FILLER_232_181,VPWR,li1,89.4700,644.6400,1.799993
FILLER_232_178,VPWR,li1,88.0900,644.6400,1.799993
FILLER_232_175,VPWR,li1,86.7100,644.6400,1.799993
FILLER_232_172,VPWR,li1,85.3300,644.6400,1.799993
FILLER_232_169,VPWR,li1,83.9500,644.6400,1.799993
FILLER_232_165,VPWR,li1,82.1100,644.6400,1.799994
FILLER_232_162,VPWR,li1,80.7300,644.6400,1.799994
FILLER_232_159,VPWR,li1,79.3500,644.6400,1.799994
FILLER_232_156,VPWR,li1,77.9700,644.6400,1.799994
FILLER_232_153,VPWR,li1,76.5900,644.6400,1.799994
FILLER_232_150,VPWR,li1,75.2100,644.6400,1.799994
FILLER_232_147,VPWR,li1,73.8300,644.6400,1.799994
FILLER_232_144,VPWR,li1,72.4500,644.6400,1.799994
FILLER_232_141,VPWR,li1,71.0700,644.6400,1.799995
FILLER_232_137,VPWR,li1,69.2300,644.6400,1.799995
FILLER_232_134,VPWR,li1,67.8500,644.6400,1.799995
FILLER_232_131,VPWR,li1,66.4700,644.6400,1.799995
FILLER_232_128,VPWR,li1,65.0900,644.6400,1.799995
FILLER_232_125,VPWR,li1,63.7100,644.6400,1.799995
FILLER_232_122,VPWR,li1,62.3300,644.6400,1.799995
FILLER_232_119,VPWR,li1,60.9500,644.6400,1.799996
FILLER_232_116,VPWR,li1,59.5700,644.6400,1.799996
FILLER_232_113,VPWR,li1,58.1900,644.6400,1.799996
FILLER_232_109,VPWR,li1,56.3500,644.6400,1.799996
FILLER_232_106,VPWR,li1,54.9700,644.6400,1.799996
FILLER_232_103,VPWR,li1,53.5900,644.6400,1.799996
FILLER_232_100,VPWR,li1,52.2100,644.6400,1.799996
FILLER_232_97,VPWR,li1,50.8300,644.6400,1.799996
FILLER_232_94,VPWR,li1,49.4500,644.6400,1.799996
FILLER_232_91,VPWR,li1,48.0700,644.6400,1.799997
FILLER_232_88,VPWR,li1,46.6900,644.6400,1.799997
FILLER_232_85,VPWR,li1,45.3100,644.6400,1.799997
FILLER_232_81,VPWR,li1,43.4700,644.6400,1.799997
FILLER_232_78,VPWR,li1,42.0900,644.6400,1.799997
FILLER_232_75,VPWR,li1,40.7100,644.6400,1.799997
FILLER_232_72,VPWR,li1,39.3300,644.6400,1.799997
FILLER_232_69,VPWR,li1,37.9500,644.6400,1.799998
FILLER_232_66,VPWR,li1,36.5700,644.6400,1.799998
FILLER_232_63,VPWR,li1,35.1900,644.6400,1.799998
FILLER_232_60,VPWR,li1,33.8100,644.6400,1.799998
FILLER_232_57,VPWR,li1,32.4300,644.6400,1.799998
FILLER_232_53,VPWR,li1,30.5900,644.6400,1.799998
FILLER_232_50,VPWR,li1,29.2100,644.6400,1.799998
FILLER_232_47,VPWR,li1,27.8300,644.6400,1.799999
FILLER_232_44,VPWR,li1,26.4500,644.6400,1.799999
FILLER_232_41,VPWR,li1,25.0700,644.6400,1.799999
FILLER_232_38,VPWR,li1,23.6900,644.6400,1.799999
FILLER_232_35,VPWR,li1,22.3100,644.6400,1.799999
FILLER_232_32,VPWR,li1,20.9300,644.6400,1.799999
FILLER_232_29,VPWR,li1,19.5500,644.6400,1.799999
FILLER_232_27,VPWR,li1,18.1700,644.6400,1.799999
FILLER_232_24,VPWR,li1,17.2500,644.6400,1.799999
FILLER_232_21,VPWR,li1,15.8700,644.6400,1.799999
FILLER_232_18,VPWR,li1,14.4900,644.6400,1.799999
FILLER_232_15,VPWR,li1,13.1100,644.6400,1.799999
FILLER_232_12,VPWR,li1,11.7300,644.6400,1.799999
FILLER_232_9,VPWR,li1,10.3500,644.6400,1.799999
FILLER_232_6,VPWR,li1,8.9700,644.6400,1.799999
FILLER_232_3,VPWR,li1,7.5900,644.6400,1.799999
FILLER_231_1378,VPWR,li1,639.6300,639.2000,1.799996
FILLER_231_1375,VPWR,li1,638.7100,639.2000,1.799996
FILLER_231_1372,VPWR,li1,637.3300,639.2000,1.799996
FILLER_231_1369,VPWR,li1,635.9500,639.2000,1.799996
FILLER_231_1366,VPWR,li1,634.5700,639.2000,1.799994
FILLER_231_1363,VPWR,li1,633.1900,639.2000,1.799994
FILLER_231_1360,VPWR,li1,631.8100,639.2000,1.799994
FILLER_231_1357,VPWR,li1,630.4300,639.2000,1.799993
FILLER_231_1354,VPWR,li1,629.0500,639.2000,1.799993
FILLER_231_1351,VPWR,li1,627.6700,639.2000,1.799992
FILLER_231_1348,VPWR,li1,626.2900,639.2000,1.799991
FILLER_231_1345,VPWR,li1,624.9100,639.2000,1.799991
FILLER_231_1343,VPWR,li1,623.5300,639.2000,1.799990
FILLER_231_1340,VPWR,li1,622.6100,639.2000,1.799989
FILLER_231_1337,VPWR,li1,621.2300,639.2000,1.799989
FILLER_231_1334,VPWR,li1,619.8500,639.2000,1.799988
FILLER_231_1331,VPWR,li1,618.4700,639.2000,1.799987
FILLER_231_1328,VPWR,li1,617.0900,639.2000,1.799987
FILLER_231_1325,VPWR,li1,615.7100,639.2000,1.799986
FILLER_231_1322,VPWR,li1,614.3300,639.2000,1.799985
FILLER_231_1319,VPWR,li1,612.9500,639.2000,1.799985
FILLER_231_1316,VPWR,li1,611.5700,639.2000,1.799985
FILLER_231_1313,VPWR,li1,610.1900,639.2000,1.799984
FILLER_231_1310,VPWR,li1,608.8100,639.2000,1.799983
FILLER_231_1307,VPWR,li1,607.4300,639.2000,1.799983
FILLER_231_1304,VPWR,li1,606.0500,639.2000,1.799982
FILLER_231_1301,VPWR,li1,604.6700,639.2000,1.799981
FILLER_231_1298,VPWR,li1,603.2900,639.2000,1.799981
FILLER_231_1295,VPWR,li1,601.9100,639.2000,1.799980
FILLER_231_1292,VPWR,li1,600.5300,639.2000,1.799979
FILLER_231_1289,VPWR,li1,599.1500,639.2000,1.799979
